,sentence,label,data
0,Building a Web Test Collection using Social Media,null,null
1,Chia-Jung Lee,null,null
2,Center for Intelligent Information Retrieval School of Computer Science,null,null
3,"University of Massachusetts, Amherst",null,null
4,cjlee@cs.umass.edu,null,null
5,W. Bruce Croft,null,null
6,Center for Intelligent Information Retrieval School of Computer Science,null,null
7,"University of Massachusetts, Amherst",null,null
8,croft@cs.umass.edu,null,null
9,ABSTRACT,null,null
10,"Community Question Answering (CQA) platforms contain a large number of questions and associated answers. Answerers sometimes include URLs as part of the answers to provide further information. This paper describes a novel way of building a test collection for web search by exploiting the link information from this type of social media data. We propose to build the test collection by regarding CQA questions as queries and the associated linked web pages as relevant documents. To evaluate this approach, we collect approximately ten thousand CQA queries, whose answers contained links to ClueWeb09 documents after spam filtering. Experimental results using this collection show that the relative effectiveness between different retrieval models on the ClueWeb-CQA query set is consistent with that on the TREC Web Track query sets, confirming the reliability of our test collection. Further analysis shows that the large number of queries generated through this approach compensates for the sparse relevance judgments in determining significant differences.",null,null
11,Categories and Subject Descriptors,null,null
12,H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval; H.3.m [Information Storage and Retrieval]: Miscellaneous--Test Collections,null,null
13,General Terms,null,null
14,"Experimentation, Performance",null,null
15,Keywords,null,null
16,"Test collection, social media, community question answering",null,null
17,1. INTRODUCTION,null,null
18,"The most difficult part of building a test collection is perhaps creating a set of queries with associated relevance judgments. Click data can be used as a substitute in some cases,",null,null
19,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for prof t or commercial advantage and that copies bear this notice and the full citation on the f rst page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specif c permission and/or a fee. Request permissions from Permissions@acm.org. SIGIR'13, July 28­August 1, 2013, Dublin, Ireland. Copyright 2013 ACM 978-1-4503-2034-4/13/07 ...$15.00.",null,null
20,Figure 1: An example query with relevance judgments generated from social media data.,null,null
21,"but this is not available for general use in academic environments. In this paper, we explore an approach to generating a set of queries and relevance judgments for a collection of web documents by exploiting the information in social media, and more specifically Community Question Answering services. CQA sites such as Yahoo! Answers1 and Baidu Zhidao2 provide social platforms for users to raise questions, to obtain useful information and to share potential answers. The collaborative nature of such platforms motivates interested users to voluntarily engage in providing useful answers to many topics. Answerers sometimes provide URLs as part of their answers. These links are used to provide additional information, to explain more complicated concepts that can not be detailed in short paragraphs, or to present reliable citations, etc. Figure 1 shows an example of an answer that incorporates several URLs.",null,null
22,"The central hypothesis of this paper is that these links can be regarded as relevant documents for the CQA question (or query). Although the relevance judgments obtained in this way are likely to be sparse, our expectation is that the large number of queries obtained will compensate for this.",null,null
23,"In this paper, we collected a large number of questionanswer pairs from existing and newly crawled CQA collections. We then reduced this set to include only questions whose answers contained links, where the links pointed to documents in the ClueWeb09 collection. The final ClueWebCQA (CW-CQA) set of queries and relevance judgments was produced after some additional filtering to deal with issues",null,null
24,1http://answers.yahoo.com/ 2http://zhidao.baidu.com/,null,null
25,757,null,null
26,"such as spam. To test the validity of this new test collection, the relative effectiveness of some well-known benchmark retrieval models is evaluated and compared. Our CW-CQA results show that a term dependency model significantly outperforms a bag of words model, and pseudo-relevance feedback techniques can be helpful in most cases. These findings are consistent with the results using standard TREC Web Track query sets. As expected, the relevance judgments are sparse and incomplete. Carterette et al. [4] demonstrated that, up to a point, evaluation over more queries with fewer judgments is as reliable as fewer queries with more judgments. Similarly, we show that evaluating using a sufficient number of queries shows significant differences between retrieval models despite the incomplete relevance judgments.",null,null
27,The rest of paper is laid out as follows. Section 2 summarizes related work and Section 3 describes the methodology of building the CW-CQA test collection. We discuss the experimental results in Section 4. Section 5 makes closing remarks and discusses several future directions.,null,null
28,2. RELATED WORK,null,null
29,"There have been several web test collections created for supporting reproducible experiments at TREC. Examples include .GOV2, WT2g, and WT10g as well as a recent larger collection ClueWeb09. For large collections, relevance judging is mostly done through pooling techniques [7]. Such techniques assemble and judge results from multiple searches and systems, with the assumption that most relevant documents will be found.",null,null
30,"Even with the use of pooling methods, creating relevance judgments is often costly and the judged results can be biased and incomplete [2]. Buckley and Voorhees [1] proposed the metric bpref that is both highly correlated with existing measures when complete judgments are available and more robust to incomplete judgment sets. For the Million Query Track at TREC 2007, Carterette et al. [4] presented two document selection algorithms [3] to acquire relevance judgments. Their results suggested that, up to a point, evaluation over more queries with fewer judgments is more costeffective and as reliable as fewer queries with more judgments.",null,null
31,3. METHODOLOGY,null,null
32,3.1 Test Collection,null,null
33,"We build the CW-CQA test collection using large CQA datasets and the web collection ClueWeb09 3. We obtain a large number of question-answer pairs from the CQA corpora and harvest all links provided in answers. We then reduce this set to include only questions whose answers contained links pointing to ClueWeb09 documents. We obseve that some of the links contained in CQA answers can be considered to be spam pages. To ensure a reliable test collection, we filter the reduced question sets based on two spamcontrolling parameters SR and SA. Cormack et al [5] proposed a content-based classifier that quantifies the ""spamminess"" of a document based on a scale of 0 to 100, where a lower score indicates that the page has a higher likelihood to be spam. Accordingly, SA calculates the average spam score of all links LQ extracted for a question Q and SR records",null,null
34,3http://lemurproject.org/clueweb09/,null,null
35,"the ratio of spam links among LQ 4. Varying SR and SA affects the final number of queries and the proportion of spam links. After filtering, we can establish our final CW-CQA test collection by using the remaining questions and associated links as test queries and relevance judgments. We dicuss the parameter settings in Section 4.",null,null
36,3.2 Retrieval Models,null,null
37,"We test four existing retrieval models including query likelihood model (QLM), relevance model (RM) [8], sequential dependency model (SDM) [9] and a query expansion model using latent concept expansion (LCE) [10]. We choose these models because they include both common baselines used in other papers and methods that are state-of-the-art in terms of effectiveness.",null,null
38,"QLM computes the likelihood of generating query texts based on documents models, and can often be written as:",null,null
39,"P (Q|D) ra,nk",null,null
40,log(P (qi|D)),null,null
41,qi Q,null,null
42,RM ranks documents according to the odds of their being observed in the relevant class. P (w|qi . . . qk) can be effectively used to approximate P (w|R) with w as a word in the collection.,null,null
43,P (D|R) P (D|N ),null,null
44,P (w|R) P (w|N ),null,null
45,wD,null,null
46,SDM is an effective instantiation of the Markov random field for information retrieval (MRF-IR) that makes the sequential dependence assumption. It ranks documents by:,null,null
47,"P (D|Q) ra,nk T +O +U",null,null
48,"qiQ fT (qi, D) qiQ fO (qi, qi+1, D) qiQ fU (qi, qi+1, D)",null,null
49,LCE is a robust query expansion technique based on MRFIR. This technique provides a mechanism for modeling term dependencies during expansion. The central idea is to compute a probability distribution over latent concepts using a set of pseudo-relevant documents in response to Q. Retrieval is then done by incorporating the top k latent concepts with the highest likelihood into original MRF model. Details of these models can be found in the appropriate papers.,null,null
50,4. EXPERIMENTS,null,null
51,4.1 Building The Collection,null,null
52,"CQA datasets. We used two large CQA datasets, Yahoo Webscope L6 (Y6) 5 and a recently crawled Yahoo! Answers dataset (YA). Corpus Y6 provides a 10/25/2007 Yahoo! Answers dump. We additionally crawled the YA corpus by using the Yahoo! Answers API. Specifically, we collected up to 10,000 questions for each of the 26 Yahoo root categories as well as their corresponding answers 6. Table 1 shows the number of questions NQ, the average number of associated answers per question NAavg, and the average number of links per question NLavg in first row.",null,null
53,4We consider a page with spam score below 60 to be spam. 5http://webscope.sandbox.yahoo.com/ 6The collection contains approximately one month Yahoo! Answers data starting from 7/31/12 to 9/5/12.,null,null
54,758,null,null
55,log(n Qurl),null,null
56,0 2 4 6 8 10,null,null
57,log(n Qurl),null,null
58,0 2 4 6 8 10,null,null
59,log(n Qurl),null,null
60,02468,null,null
61,log(n Qurl),null,null
62,02468,null,null
63,CatA-Y6,null,null
64,CatB-Y6,null,null
65,CatA-YA,null,null
66,CatB-YA,null,null
67,y,null,null
68,", r",null,null
69,"s-q3u.3a3re07,",null,null
70,x + 13.8248 0.9199,null,null
71,0,null,null
72,1,null,null
73,2,null,null
74,3,null,null
75,4,null,null
76,log(n url),null,null
77,y,null,null
78,", r",null,null
79,"s-q3u.3a7re87,",null,null
80,x + 13.2745 0.9147,null,null
81,0,null,null
82,1,null,null
83,2,null,null
84,3,null,null
85,4,null,null
86,log(n url),null,null
87,"y , -3.4497 x + 9.5577 r square , 0.9482",null,null
88,0.0,null,null
89,0.5,null,null
90,1.0,null,null
91,1.5,null,null
92,2.0,null,null
93,2.5,null,null
94,log(n url),null,null
95,"y , -3.5153 x + 8.9705 r square , 0.9808",null,null
96,0.0,null,null
97,0.5,null,null
98,1.0,null,null
99,1.5,null,null
100,2.0,null,null
101,2.5,null,null
102,log(n url),null,null
103,Figure 2: Linear fit of the logarithms of links per question (nurl) and frequency of these questions (nQurl ).,null,null
104,CQA CW-CQA (CatA) CW-CQA (CatB),null,null
105,NQ NAavg NLavg,null,null
106,NQ NLavg NQ NLavg,null,null
107,"Y6 4,483,032 7.11 1.95 272,619 1.74 186,651 1.64",null,null
108,"YA 216,474 3.42 1.92 8,386 1.44 5,567 1.33",null,null
109,Table 1: Dataset statistics.,null,null
110,"Figure 3: Query length (x-axis) and the frequency of queries (y-axis) for query sets 10k, 3k and TREC.",null,null
111,"Connecting CQA and ClueWeb. To find connections, we then compared the CQA links with two subsets of ClueWeb09 pages, namely Category A (CatA) and Category B (CatB), which contain approximately 500M and 50M English documents, respectively. The second and third rows in Table 1 summarize the number of questions whose answers contained links to the ClueWeb data NQ and their corresponding NLavg 7. Figure 2 shows the relation between the number of links each question has (nurl) and the frequency of questions with nurl links (nQurl ). Since this is a log-log plot, Figure 2 shows that nurl and nQurl follow a power law distribution; that is, questions with few links occupy a significant portion of entire population. R2 statistics show the goodness of the fit. The connection distributions for CatA and CatB resemble each other; in the following, we focus on evaluation using the ClueWeb09 CatB connections and searching on CatB for computational efficiency.",null,null
112,"Queries and Relevance Judgments. To build the final test collection, we aggregate questions from Y6 and YA constrained by SR  0.1, SA  90 and nurl > 1. The constraint nurl > 1 is used to avoid the extremes in the power law distributions shown in Figure 2. A final set of 9988 questions are selected as the CW-CQA test queries and the associated links are regarded as relevance judgments. This set is denoted as the 10k set. We construct an additional query set by selecting queries from 10k that have at least one relevant document returned by any of the four retrieval models described in Section 3, resulting in the query set 3k",null,null
113,7Multiple appearances of the same URL for a question is considered only once.,null,null
114,"containing 3440 questions. The maximum nurl in query sets 10k and 3k are respectively 22 and 19, and the minimum for both is 2. The relation of nurl and nQurl remains as power law distributions for both query sets. The nature of CQA questions can make the queries quite long. We apply stop structure removal techniques [6] to the CW-CQA queries and Figure 3 compares the query length distributions.",null,null
115,"For comparison, we use 148 standard TREC web track 2009, 2010 and 2011 title and description (desc) queries. We search these TREC queries on ClueWeb09 CatB and evaluate the results using standard TREC relevance judgments. Figure 3 suggests that the CW-CQA queries are more similar to TREC description queries in terms of query length.",null,null
116,"Retrieval Setup. Indri 8 is used for indexing and searching. We use Dirichlet smoothing with µ ,"" 2500 for all runs without tuning. We apply spam filtering to all retrieval runs based on [5]. We evaluate using the top 1000 documents and report mean average precision (MAP), precision at 10/100 (P@10, P@100), mean reciprocal rank (MRR) and bpref.""",null,null
117,4.2 Retrieval Performance,null,null
118,"Table 2 shows the retrieval performance of the CW-CQA query sets 10k and 3k where the top performing runs are underlined. We perform paired t-tests on pairs of retrieval models (QLM, SDM), (QLM, RM) and (SDM, LCE). Specifically, RM and SDM are marked  if p-value < 0.05 compared to QLM. LCE is marked  if p-value < 0.05 compared to SDM. We observe that SDM significantly outperforms QLM in both query sets for every metric. RM can significantly improve QLM for most metrics, showing the utility of pseudo-relevance feedback. LCE seems to improve SDM, but the significant difference is only observed for metrics P@100 and bpref. In general, models SDM and LCE are the most effective compared to others. The performance of the 10k and 3k query sets show similar trends. For query set 3k, MRR shows that on average all models rank the first known relevant document above rank 20.",null,null
119,"Table 3 shows the retrieval performance of TREC title and desc queries. Similar to CW-CQA results, SDM significantly outperforms QLM in all cases. For title queries, unlike CWCQA results, pseudo-relevance feedback techniques such as RM and LCE sometimes can hurt performance of QLM and SDM, respectively. The utility of pseudo-relevance feedback is more evident for desc queries. The similarity of the query length for CW-CQA queries and TREC descriptions provides a possible explanation for the higher level of consistency between their results.",null,null
120,"In general, the relative effectiveness between retrieval models is similar for CW-CQA and TREC queries. The improvements based on term dependency modeling are significant",null,null
121,8http://www.lemurproject.org/indri/,null,null
122,759,null,null
123,Model MAP P@10 P@100 MRR bpref,null,null
124,QLM .0107 .0047 .0018 .0195 .1815,null,null
125,10k,null,null
126,SDM RM,null,null
127,.0114 .0051 .0019 .0114 .0050 .0019,null,null
