,sentence
0,Short Research Papers 3C: Search
1,
2,"SIGIR '19, July 21­25, 2019, Paris, France"
3,
4,Enhanced News Retrieval: Passages Lead the Way!
5,
6,Matteo Catena
7,"ISTI-CNR, Pisa, Italy matteo.catena@isti.cnr.it"
8,
9,Ophir Frieder
10,"Georgetown University, USA ophir@ir.cs.georgetown.edu"
11,
12,Cristina Ioana Muntean
13,"ISTI-CNR, Pisa, Italy cristina.muntean@isti.cnr.it"
14,
15,Franco Maria Nardini
16,"ISTI-CNR, Pisa, Italy francomaria.nardini@isti.cnr.it"
17,
18,Raffaele Perego
19,"ISTI-CNR, Pisa, Italy raffaele.perego@isti.cnr.it"
20,
21,Nicola Tonellotto
22,"ISTI-CNR, Pisa, Italy nicola.tonellotto@isti.cnr.it"
23,
24,ABSTRACT
25,"We observe that most relevant terms in unstructured news articles are primarily concentrated towards the beginning and the end of the document. Exploiting this observation, we propose a novel version of the classical BM25 weighting model, called BM25 Passage"
26,CCS CONCEPTS
27,· Information systems  Probabilistic retrieval models;
28,"ACM Reference Format: Matteo Catena, Ophir Frieder, Cristina Ioana Muntean, Franco Maria Nardini, Raffaele Perego, and Nicola Tonellotto. 2019. Enhanced News Retrieval: Passages Lead the Way!. In Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval"
29,1 INTRODUCTION
30,"Passage retrieval, present in literature for decades [10], is the task of retrieving only portions of documents, i.e., passages, relevant to a particular information need. At times, passage retrieval is viewed as an intermediate step in other information retrieval tasks, e.g., question answering and summarization."
31,"Believing that certain passages pose greater relevance to a given query, we investigate how such relevance can be exploited to improve retrieval on a particular domain, specifically news retrieval. We differ from both existing passage retrieval [10] and passage detection [6] efforts, where the aim is to either retrieve only highly relevant passages or detect unrelated injected passages from within documents, respectively. In contrast, our goal is not to answer a query by retrieving single passages or detect injected unrelated passages, but to focus on improving the effectiveness of a retrieval"
32,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR '19, July 21­25, 2019, Paris, France © 2019 Copyright held by the owner/author(s). Publication rights licensed to ACM. ACM ISBN 978-1-4503-6172-9/19/07. . . $15.00 https://doi.org/10.1145/3331184.3331373"
33,
34,"system in retrieving entire news articles. To this end, we exploit passage relevance, capitalizing on their keyword density."
35,"Specifically, we introduce a variant of the well-known BM25 weighting model [7], called BM25 Passage"
36,"The exploitation of term positions in Information Retrieval applications is common. One of the most notable examples related to our work is the BM25F weighting model [9], where term statistics are computed separately for the different fields that make up a document"
37,"Term positions are also exploited in the news context for news summarization and classification tasks [2­4]. In news recommendation, the first few sentences and the article title are known to boost the performance of recommender systems. The performance of the system can be further improved by considering the rest of the document, and the best results can be observed when using the whole article text, as in our approach [1, 12]. This result suggests that although news articles tend to concentrate relevant content in the beginning, this does not necessarily imply that the remaining sections of the text can be ignored without hindering accuracy. By making the best of these two observations, we analyze the distribution of the occurrences of highly relevant terms and note that news documents belonging to different collections are consistently characterized by areas with different densities of highly relevant terms. We thus exploit this fact to improve a classical IR weighting model such as BM25. To the best of our knowledge, this is the first contribution in this direction exploiting the in-document distributions of impactful terms within news documents in the BM25 weighting function."
38,
39,1269
40,
41,Short Research Papers 3C: Search
42,
43,"SIGIR '19, July 21­25, 2019, Paris, France"
44,
45,2 PROBLEM
46,
