,sentence,label,data,regex
0,Articles,0.0,,False
1,Surveillance testing using salivary RT-PCR for,1.0,,True
2,SARS-CoV-2 in managed quarantine facilities in,1.0,SARS-CoV-2,True
3,Australia: A laboratory validation and implementation,0.0,,False
4,study,0.0,,False
5,"Adam Jenney,a,1 Doris Chibo,d,1 Mitch Batty,d,1 Julian Druce,d,1 Robert Melvin,j Andrew Stewardson,b Amanda Dennison,a Sally Symes,h Paul Kinsella,d Thomas Tran,d Charlene Mackenzie,d Douglas Johnson,e,f Irani Thevarajan,e Christian McGrath,g Amelia Matlock,h Jacqueline Prestedge,i Megan Gooey,d Janine Roney,c Joanne Bobbitt,h Sarah Yallop,h Mike Catton,d and Deborah A Williamson d,f*",0.0,,False
6,"aMicrobiology Unit, Alfred Hospital, Melbourne, Victoria, Australia bDepartment of Infectious Diseases, Alfred Hospital, Melbourne, Victoria, Australia cClinical Research Unit, Department of Infectious Diseases, Alfred Hospital, Melbourne, Victoria, Australia dVictorian Infectious Diseases Reference Laboratory, Royal Melbourne Hospital at the Peter Doherty Institute for Infection and Immunity, Melbourne, Victoria, Australia eDepartment of Infectious Diseases, Royal Melbourne Hospital, Melbourne, Victoria, Australia fDepartment of Medicine, Royal Melbourne Hospital, University of Melbourne, Victoria, Australia gDepartment of Infectious Diseases, Northern Health, Melbourne, Victoria, Australia hPathology, Engagement and Testing, Victorian Department of Health, Melbourne, Victoria, Australia iDepartment of Infectious Diseases, University of Melbourne at the Peter Doherty Institute for Infection and Immunity, Melbourne, Victoria, Australia jHotel Support Services, Alfred Hospital, Melbourne, Victoria, Australia",1.0,Infectious,True
7,Summary,0.0,,False
8,"Background Regular repeat surveillance testing is a strategy to identify asymptomatic individuals with SARS-CoV-2 infections in high-risk work settings to prevent onward community transmission. Saliva sampling is less invasive compared to nasal/oropharyngeal sampling, thus making it suitable for regular testing. In this multi-centre evaluation, we aimed to validate RT-PCR using salivary swab testing of SARS-CoV-2 for large-scale surveillance testing and assess implementation amongst staff working in the hotel quarantine system in Victoria, Australia.",1.0,asymptomatic,True
9,"Methods A multi-centre laboratory evaluation study was conducted to systematically validate the in vitro and clinical performance of salivary swab RT-PCR for implementation of SARS-CoV-2 surveillance testing. Analytical sensitivity for multiple RT-PCR platforms was assessed using a dilution series of known SARS-CoV-2 viral loads, and assay specificity was examined using a panel of viral pathogens other than SARS-CoV-2. In addition, we tested capacity for large-scale saliva testing using a four-sample pooling approach, where positive pools were subsequently decoupled and retested. Regular, frequent self-collected saliva swab RT-PCR testing was implemented for staff across fourteen quarantine hotels. Samples were tested at three diagnostic laboratories validated in this study, and results were provided back to staff in real-time.",1.0,clinical,True
10,The Lancet Regional Health - Western Pacific 2022;26: 100533 Published online 8 July 2022 https://doi.org/10.1016/j. lanwpc.2022.100533,0.0,,False
11,"Findings The agreement of self-collected saliva swabs for RT-PCR was 84.5% (95% CI 68.6 to 93.8) compared to RTPCR using nasal/oropharyngeal swab samples collected by a healthcare practitioner, when saliva samples were collected within seven days of symptom onset. Between 7th December 2020 and 17th December 2021, almost 500,000 RT-PCR tests were performed on saliva swabs self-collected by 102 staff working in quarantine hotels in Melbourne. Of these, 20 positive saliva swabs were produced by 13 staff (0.004%). The majority of staff that tested positive occurred during periods of community transmission of the SARS-CoV-2 Delta variant.",1.0,quarantine,True
12,"Interpretation Salivary RT-PCR had an acceptable level of agreement compared to standard nasal/oropharyngeal swab RT-PCR within early symptom onset. The scalability, tolerability and ease of self-collection highlights utility",0.0,,False
13,"*Corresponding author at: Victorian Infectious Diseases Reference Laboratory at the Peter Doherty Institute for Infection and Immunity, 792 Elizabeth Street, Melbourne, 3000, Australia.",1.0,Infectious,True
14,E-mail address: deborah.williamson@unimelb.edu.au (D.A. Williamson). 1 Contributed equally.,0.0,,False
15,"www.thelancet.com Vol 26 September, 2022",0.0,,False
16,1,0.0,,False
17,Articles,0.0,,False
18,"for frequent or repeated testing in high-risk settings, such as quarantine or healthcare environments where regular monitoring of staff is critical for public health, and protection of vulnerable populations.",1.0,quarantine,True
19,Funding This work was funded by the Victorian Department of Health.,0.0,,False
20,Copyright ” 2022 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/) Keywords: Surveillance testing; Saliva; SARS-CoV-2; COVID-19; RT-PCR,1.0,SARS-CoV-2,True
21,Research in context,0.0,,False
22,Evidence before this study,0.0,,False
23,"We conducted a literature search of peer-reviewed articles published between January 2020 and August 2021 focusing on the utility of saliva for SARS-CoV-2 RTPCR testing for large-scale surveillance. Most studies focused on the usefulness of saliva as an alternative specimen to nasal/oropharyngeal swabbing for patient testing in primary healthcare, mainly in high prevalence settings. To date, there are limited data available on the large-scale utilisation of saliva RT-PCR for routine surveillance testing in high-risk settings, such as staff working in quarantine facilities, particularly during lowprevalence community transmission.",1.0,SARS-CoV-2,True
24,Added value of this study,0.0,,False
25,"Here, we provide an overview of salivary swab RT-PCR performance against combined nasal/oropharyngeal swab RT-PCR testing and demonstrate validation of this method across multiple laboratories. In addition, we describe the implementation of a pooled testing method for mass surveillance testing of staff working in managed quarantine facilities. To our knowledge, this is the first study to describe the implementation of mass salivary RT-PCR surveillance in Australia.",1.0,quarantine,True
26,Implications of all the available evidence,0.0,,False
27,"In the context of new SARS-CoV-2 variants emerging, there may be an ongoing need for SARS-CoV-2 surveillance testing of high-risk frontline staff (e.g., staff working at border interfaces; healthcare workers). Our data demonstrate the feasibility of widespread pooled salivary swab RT-PCR surveillance and applicability of this approach across a range of laboratory testing platforms.",1.0,SARS-CoV-2,True
28,Introduction,0.0,,False
29,"For centuries, quarantine, case isolation and border controls have been used as strategies to contain and mitigate the spread of infectious diseases.1 Most recently, these strategies have been employed globally to limit the spread of SARS-CoV-2 during the COVID-19",1.0,quarantine,True
30,"pandemic. For countries such as Australia and New Zealand, these measures helped to maintain a comparatively low prevalence of COVID-19 compared to countries such as the United States and the United Kingdom.2 Between 20th of March 2020 and 1st of November 2021, the Australian international border was only open to travellers with a government-approved exemption, and all returning travellers were required to complete at least 14 days of quarantine in a hotel or another supervised facility.",1.0,pandemic,True
31,"In Australia, the first wave of COVID-19 was characterised by multiple incursions of SARS-CoV-2 from returning travellers with limited onward transmission.3 Conversely, until widespread community transmission of the Delta and Omicron variants in late 2021 and early 2022, outbreaks of COVID-19 were largely attributed to transmission from residents within quarantine to hotel staff or fellow residents. Most notably, infection of hotel quarantine staff in the state of Victoria, Australia in mid-2020 led to over 10,000 COVID-19 infections in a large second wave in Victoria.4 Following this outbreak, major changes were made to the hotel quarantine system; these included limiting staff employed in the hotel quarantine system from working across other settings, and improved infection control practices.5 In addition, systematic surveillance testing of staff working in the hotel quarantine system was proposed as a means of early detection of possible transmission of SARS-CoV-2 from hotel quarantine residents to staff.6",1.0,COVID-19,True
32,"Saliva has been used as an alternative specimen for diagnostic and screening purposes in the COVID-19 pandemic.7 Compared to nasopharyngeal sampling, saliva collection is less invasive, and a meta-analysis of studies assessing the use of saliva suggested a similar agreement to nasopharyngeal swabs for detection of SARS-CoV-2, although with heterogeneity across studies regarding the populations sampled and the method of saliva collection.8 Previous work in our setting has demonstrated the feasibility of using drooled neat saliva as an alternative to nasopharyngeal swabs.9 However, neat saliva specimens can be complex to handle in the laboratory, with challenges relating to sample volume and viscosity.7 Saliva sampling using standardised collection devices, although impacted by sample dilution, may help reduce variability between samples; in",1.0,COVID-19,True
33,2,0.0,,False
34,"www.thelancet.com Vol 26 September, 2022",0.0,,False
35,Articles,0.0,,False
36,"particular, sampling of oral saliva using a flocked swab (`saliva swabs') offers a simple and consistent way of self-collection of saliva for SARS-CoV-2 RT-PCR and enables integration into standard RT-PCR laboratory workflows. Further, pooling of saliva samples has been demonstrated as a feasible and scalable way of testing large numbers of self-collected saliva samples.10-12",1.0,SARS-CoV-2,True
37,"Here, we describe the development and validation of salivary RT-PCR testing for SARS-CoV-2 using self-collected saliva swabs from a widespread implementation study amongst staff working in the hotel quarantine system in Victoria, Australia during a period of increasing COVID-19 prevalence in the community. Further, to facilitate large-scale testing we analysed the efficiency of a sample pooling strategy for salivary RT-PCR testing.",1.0,SARS-CoV-2,True
38,Methods,0.0,,False
