sentence,label,data,regex
ChatNoir: A Search Engine for the ClueWeb09 Corpus,1,ClueWeb,True
Martin Potthast,0,,False
Matthias Hagen,0,,False
Benno Stein,0,,False
Jan Graßegger,0,,False
Maximilian Michel,0,,False
Martin Tippmann,0,,False
Clement Welsch,0,,False
"Bauhaus-Universität Weimar 99423 Weimar, Germany",0,,False
<first name>.<last name>@uni-weimar.de,0,,False
ABSTRACT,0,,False
"We present the ChatNoir search engine which indexes the entire English part of the ClueWeb09 corpus. Besides Carnegie Mellon's Indri system, ChatNoir is the second publicly available search engine for this corpus. It implements the classic BM25F information retrieval model including PageRank and spam likelihood. The search engine is scalable and returns the first results within three seconds, which is significantly faster than Indri. A convenient API allows for implementing reproducible experiments based on retrieving documents from the ClueWeb09 corpus. The search engine has successfully accomplished a load test involving 100 000 queries.",1,ClueWeb,True
Categories and Subject Descriptors: H.3.3 [Information Search and Retrieval]: Search process,0,,False
General Terms: Experimentation,0,,False
"Keywords: search engine, TREC, ClueWeb09",1,TREC,True
1. INTRODUCTION,1,DUC,True
"Many of the current TREC tracks and TREC style retrieval performance experiments are based on the ClueWeb09 corpus--a collection of 1 billion web pages crawled and provided by the Carnegie Mellon University. As indexing and searching such a large corpus requires a decent amount of hardware probably not available to all researchers interested in TREC style experiments or TREC participation, a public search engine has been provided with the release of the corpus.1 So far, this is the only publicly available search engine for the ClueWeb09 and it has been used in many TREC runs over the last years. However, the engine is rather slow (answer time of about 10 seconds or more) and only offers the Indri retrieval model (language modeling combined with an inference network). As an alternative, we provide a faster public search engine--ChatNoir.",1,TREC,True
2. CHATNOIR SEARCH,0,,False
"The ChatNoir search engine is based on the classic BM25F retrieval model [4] including the anchor text list provided by the University of Twente [3], the PageRank list provided by the Carnegie Mellon University,2 and the spam rank list provided by the University of Waterloo [1]. ChatNoir also incorporates an approximate proximity feature with variable width buckets as described by Elsayed et al. [2]. The text body of each document is divided into 64 buckets such that neighboring buckets have a half-bucket overlap. For each keyword, not the exact position is stored in a 1-gram index but occurrence in the individual buckets is indicated via a",1,corpora,True
"1 lemurproject.org/clueweb09.php/index.php#Services 2 boston.lti.cs.cmu.edu/clueweb09/wiki/tiki-index.php?page,PageRank",1,wiki,True
"Copyright is held by the author/owner(s). SIGIR'12, August 12­16, 2012, Portland, Oregon, USA. ACM 978-1-4503-1472-5/12/08.",0,,False
"bit flag. Hence, for each document and each occurring keyword, a 64-bit vector is used in ChatNoir's approximate proximity feature.",0,,False
"The web interface of ChatNoir is similar to that of commercial search engines (snippets, phrasal search, etc.). As for query processing, non-phrasal queries are handled by a 1-gram index of the ClueWeb09 built with Hadoop. Phrasal queries are handled by a 2gram index and a 3-gram exact position index. For phrase queries containing only 2-grams, the 2-gram index suffices. For phrase queries with longer phrases, the 2-gram index is used to identify documents that contain all 2-grams of a longer phrase while merging the postlists with the 3-gram positional index finally identifies the documents that contain the exact searched phrase. To ensure fast answer times, long queries with more than 2 keywords or phrases are treated in a divide-and-conquer manner. The long query is split into sub-queries for which a parallel retrieval is conducted. The parallel results are then merged into just one list.",1,ClueWeb,True
The ChatNoir engine runs on a cluster of 10 standard quad-core PCs and 2 eight-core servers. It comes with a web interface and a developer API at chatnoir.webis.de. This is the first public alternative to Carnegie Mellon's Indri search for reproducible experiments on the ClueWeb09 without the need of an own cluster for indexing/searching. A load test with 100 000 unique queries from a commercial search engine log showed the robustness and scalability of ChatNoir. The first ten results are typically shown within three seconds compared to more than ten seconds for an Indri search.,1,ad,True
3. CONCLUSION AND OUTLOOK,0,,False
With our ChatNoir search engine we provide the second public API for reproducibly searching the ClueWeb09 corpus in TREC style experiments. ChatNoir's much faster BM25F based search offers an alternative to the available Indri retrieval model.,1,AP,True
"A first use case we are currently handling with ChatNoir is the international PAN competition for automatic plagiarism detection. Therefore, paid human individuals write short reports on TREC topics plagiarizing parts from ClueWeb09 documents found via ChatNoir searches. The competition participants are supposed to find the most likely plagiarism sources also using ChatNoir.",1,TREC,True
4. REFERENCES,0,,False
"[1] Cormack, Smucker, and Clarke. Efficient and effective spam filtering and re-ranking for large web datasets. Inf. Retr. 14(5):441­465, 2011.",0,,False
"[2] Elsayed, Lin, and Metzler. When close enough is good enough: approximate positional indexes for efficient ranked retrieval. CIKM 2011, pp. 1993­1996.",0,,False
"[3] Hiemstra and Hauff. MIREX: MapReduce information retrieval experiments. Tech. Report TR-CTIT-10-15, Universiteit Twente, 2010.",0,,False
"[4] Robertson, Zaragoza, and Taylor. Simple BM25 extension to multiple weighted fields. CIKM 2004, pp. 42­49.",0,,False
1004,0,,False
,0,,False
A Hybrid Model for Ad-hoc Information Retrieval,1,hoc,True
"Zheng Ye, Jimmy Xiangji Huang",0,,False
Information Retrieval and Knowledge Management Research Lab,0,,False
"School of Information Technology York University Toronto, Canada",1,ad,True
"{yezheng, jhuang}@yorku.ca",0,,False
Jun Miao,0,,False
Information Retrieval and Knowledge Management Research Lab,0,,False
"Department of Computer Science & Engineering York University Toronto, Canada",1,ad,True
jun@cse.yorku.ca,0,,False
ABSTRACT,0,,False
"Many information retrieval (IR) techniques have been proposed to improve the performance, and some combinations of these techniques has been demonstrated to be effective. However, how to effectively combine them is largely unexplored. It is possible that a method reduces the positive influence of the other one even if both of them are effective separately. In this paper, we propose a new hybrid model which can simply and flexibly combine components of three different IR techniques under a uniform framework. Extensive experiments on the TREC standard collections indicate that our proposed model can outperform the best TREC systems consistently in the ad-hoc retrieval. It shows that the combination strategy in our proposed model is very effective. Meanwhile, this method is also re-useable for other researchers to test whether their new methods are additive to the current technologies.",1,TREC,True
Categories and Subject Descriptors,0,,False
"H.3.3 [Information Search and Retrieval]: Retrieval models, Relevance feedback",0,,False
General Terms,0,,False
"Algorithms, Performance, Experimentation",0,,False
Keywords,0,,False
"Hybrid Model, Rocchio's Relevance Feedback",0,,False
1. INTRODUCTION,1,DUC,True
"In the past thirty years, researchers make great progress in the Information Retrieval (IR) area. A plenty of new technologies, e.g., stemming, query expansion and smoothing methods, have been introduced and help to obtain better performance in retrieving relevant documents. Some attempts to combine these technologies show that the strategy of combination is very important because one technology can counteract the affects of others. However, how to make an effective combination is still largely unexplored, especially under a unified framework.",0,,False
"In this paper, we propose a hybrid model to incorporate three different retrieval techniques that have proven to be effective for the ad-hoc retrieval on the TREC collections.",1,corpora,True
"Copyright is held by the author/owner(s). SIGIR'12, August 12­16, 2012, Portland, Oregon, USA. ACM 978-1-4503-1472-5/12/08.",0,,False
"We analyze the best TREC systems for ad-hoc retrieval, and extend the Rocchio's feedback method by incorporating three kinds of IR techniques, which are proximity, feedback document quality estimation and query performance prediction techniques, under the pseudo relevance feedback (PRF) framework to boost the overall performance. We mainly focus on how to refine the representation of the query under the PRF framework in order to avoid the drawbacks of traditional PRF methods. Experimental results on various TREC datasets show that our hybrid model consistently obtains better results over the best TREC systems. Because our proposed model is component-based, it is very flexible to import different techniques in the future. Meanwhile, the hybrid model can help researchers to test whether their methods are additive to improve the overall performance of ad-hoc retrieval which was mentioned in [1].",1,TREC,True
2. A HYBRID RETRIEVAL MODEL,0,,False
"Rocchio's algorithm [4] is a classic framework for implementing (pseudo) relevance feedback via improving the query representation. When the negative feedback documents are ignored, the traditional Rocchio's model is as follows:",1,ad,True
r,0,,False
"Q1 ,   Q0 +  ",0,,False
|R|,0,,False
(1),0,,False
rR,0,,False
"where Q0 and Q1 represent the original and first iteration query vectors, R is the set of (pseudo) relevance documents, and r is the expansion term weight vector.",0,,False
"Although the Rocchio's model has been introduced for many years, it is still effective in obtaining relevant documents. According to [7], ""BM25 term weighting coupled with Rocchio feedback remains a strong baseline which is at least as competitive as any language modeling approach for many tasks"". Meanwhile, it is very flexible to adapt additional components. However, the traditional Rocchio's model can still be reformed to be better. First, the query term proximity information which has proven to be useful is not considered. Second, Rocchio's algorithm views terms from different feedback documents equally. Intuitively, a candidate expansion term in a document with better quality is more likely to be relevant to the query topic. Third, the interpolation parameter  is always fixed across a group of queries. In fact, for a well expressed query, the candidate feedback documents are always more reliable for relevance feedback. In this paper, we use a regression model to predict this interpolation parameter. In order to alleviate influence of these problems, we extend Rocchio's algorithm which re-",1,ad,True
1025,0,,False
"Table 1: Direct comparison with the best MAP results in each TREC year. In the Hybrid (Fixed) method, proximity and",1,MAP,True
"feedback document quality are utilized. In the Hybrid (Regression) method, all the three techniques are adapted. A ""*""",1,ad,True
indicates a statistically significant improvement when a component technique is added in our algorithm.,1,ad,True
Method,0,,False
TREC1 TREC2 TREC3 TREC6 TREC7 TREC8 TREC2004 TREC2005,1,TREC,True
BM25 BM25+Prox Hybrid-Fixed Hybrid-Reg,0,,False
0.2292 0.2461 0.2938,0,,False
0.3012,0,,False
0.2058 0.2111 0.2913,0,,False
0.2971,0,,False
0.2787 0.2929 0.3811 0.3912,0,,False
0.2397 0.2507 0.2763 0.2886,0,,False
0.1819 0.1936 0.2576,0,,False
0.2611,0,,False
0.2471 0.2582 0.2909 0.3103,0,,False
0.2672 0.3148 0.3375 0.3431,0,,False
0.3403 0.3661 0.4083 0.4193,0,,False
BEST TREC 0.2062 0.2475 0.3231 0.2876 0.2614 0.3063,1,TREC,True
0.3052,0,,False
0.4056,0,,False
TREC2006,1,TREC,True
0.2965 0.3459 0.3944,0,,False
0.3921,0,,False
0.3737,0,,False
fines the query representation as follows.,0,,False
"Q1 ,   (  Q0 + (1 - )  Qp) + (1 - ) ",0,,False
r  q(dr) (2) |R|,0,,False
rR,0,,False
"where  controls how much we rely on the query term proximity information [5],  controls how much we rely on the original query, Qp is an n-gram of original query terms and q(dr) is the quality score of document d.",0,,False
"As we can see from Equation 2, our proposed algorithm is very flexible and can evaluate different techniques. In this paper, we adopt the co-occurrence interpretation of term proximity to compute Qp, where the proximity among query terms is represented by the n-gram frequencies and BM25 is used as the weighting model [2].",1,ad,True
"Full dependencies of query terms are taken into account. For the document quality factor q(dr), we simple use the scores from the first-pass retrieval for approximation as in [6]. For the prediction to , we use the same features as in [3] to train the regression model. The difference is that we do it within Rocchio's framework.",0,,False
3. EXPERIMENTS AND ANALYSIS,0,,False
"We conduct experiments on three representative test collections: disk1&2, disk4&5, and GOV2, which are used in different TREC years. We present the results for each TREC year such that we can directly compare our results with the best TREC systems. Detailed information about the TREC datasets and the evaluation criteria, please refer to http://trec.nist.gov. For the preprocessing of the collections, we use the Porter Stemmer and a stopword list. In addition, we only use the title part of the topics to retrieve.",1,TREC,True
"In our experiments, we first empirically evaluate different combinations of our implemented component techniques, then evaluate how these techniques perform when they are integrated in our hybrid model. We set the parameters to fixed values in a parsimonious way such that each component technique gets considerable improvements on most collections. In other words, there is still room for improvement if the parameters are tuned on a collection-by-collection basis. Particularly, for the basic retrieval model, we use the Okapi BM25 model, and set b in BM25 to 0.3. When only the query term proximity technique is added, denoted as ""BM25+Prox"", we set  to 0.3. In addition, when query expansion and document quality estimation techniques are added, denoted as ""Hybrid-Fixed"", we empirically set , |R| to 0.5 and 30. However, when the query performance prediction technique is used, denoted as ""Hybrid-Reg"",  is not fixed. But it is obtained from a regression model that is trained as in [3]. When evaluating our hybrid model for a particular TREC year, the queries in the remainder TREC years on the same collection are used as training data.",1,ad,True
"From Table 1, we can see that our hybrid model with different component techniques can significantly outperforms",0,,False
"the basic retrieval model, which reconfirms the effectiveness of these techniques. In addition, when all these component techniques are used in our hybrid model, the retrieval performance can be further improved. It indicates that performance gains from these two component techniques can be added up in our proposed hybrid model. However, when we use a regression component to predict , the performance gain is not very obvious compared with other components. We conjecture the main reason is as follows: when the feedback document set is more reliable for relevance feedback, the regression component is less useful.",1,ad,True
"When compared with the best TREC systems, our proposed model obviously outperforms the best TREC systems on most collections . It is of note that the results in our paper are obtained in a uniform setting across all collections while the best TREC results were from different participants independently. We believe the significant improvement is mainly from our successful integration of different IR techniques in the proposed model. In addition, according to Armstrong et al.'s survey, very few published results are better than the best TREC systems, mostly below medium systems. Our proposed model is promising, which provides a good avenue for future IR research, especially for evaluating the overall performance of a system (not a particular component of a system).",1,TREC,True
4. CONCLUSIONS,0,,False
"In this paper, we propose a hybrid model which can successfully integrate three effective techniques in a uniform model. Extensive experiments show that our approach obviously outperforms the best TREC systems in most cases. In the future, we will investigate more effective techniques in IR and incorporate them into our framework to conduct this research in details.",1,TREC,True
5. ACKNOWLEDGMENTS,0,,False
"This research is supported by the research grant from the Natural Sciences & Engineering Research Council (NSERC) of Canada and the Early Researcher Award/ Premier's Research Excellence Award, Zhejiang Provincial Natural Science Foundation, Q12F020016.",1,ad,True
6. REFERENCES,0,,False
"[1] T. G. Armstrong, A. Moffat, W. Webber, and J. Zobel. Improvements that don't add up: ad-hoc retrieval results since 1998. In CIKM, pages 601­610, 2009.",1,ad,True
"[2] B. He, J. X. Huang, and X. Zhou. Modeling term proximity for probabilistic information retrieval models. Inf. Sci., 181(14):3017­3031, 2011.",0,,False
"[3] Y. Lv and C. Zhai. Adaptive relevance feedback in information retrieval. In CIKM, pages 255­264, 2009.",0,,False
"[4] J. Rocchio. Relevance feedback in information retrieval, pages 313­323. Prentice-Hall Englewood Cliffs, 1971.",0,,False
"[5] C. J. van Rijsbergen. A theoretical basis for the use of co-occurence data in information retrieval. Journal of Documentation, 1977.",0,,False
"[6] Z. Ye, B. He, X. Huang, and H. Lin. Revisiting rocchio's relevance feedback algorithm for probabilistic models. In AAIRS, pages 151­161, 2010.",0,,False
"[7] C. Zhai. Statistical language models for information retrieval a critical review. Found. Trends Inf. Retr., 2:137­213, 2008.",0,,False
1026,0,,False
,0,,False
Active Query Selection for Learning Rankers,1,Query,True
Mustafa Bilgic,0,,False
"Illinois Institute of Technology, Chicago, IL",0,,False
mbilgic@iit.edu,0,,False
ABSTRACT,0,,False
"Methods that reduce the amount of labeled data needed for training have focused more on selecting which documents to label than on which queries should be labeled. One exception to this [4] uses expected loss optimization (ELO) to estimate which queries should be selected but is limited to rankers that predict absolute graded relevance. In this work, we demonstrate how to easily adapt ELO to work with any ranker and show that estimating expected loss in DCG is more robust than NDCG even when the final performance measure is NDCG.",1,ad,True
Categories and Subject Descriptors,0,,False
H.3.3 [Information Search and Retrieval]: Information Search and Retrieval--active learning,0,,False
Keywords,0,,False
"Active learning, query selection",0,,False
1. INTRODUCTION,1,DUC,True
"Research in information retrieval evaluation has examined how to construct minimal test collections [2], and the balance between the number of queries judged and the depth of judging [3]. With respect to training rankers, most work has focused on document selection [1] or balancing number of queries with depth of documents judged using random query selection [5]. In this paper, we focus on selecting queries in order to most rapidly increase ranker retrieval performance.",0,,False
"In particular, we focus on the application of expected loss optimization (ELO) to query selection. Long et al. [4] used ELO to select queries for training but relied on having a ranker that estimated absolute graded relevance. We generalize this to work with any ranker ­ many of which induce a ranking but not absolute labels. To generalize to any ranker, we introduce a calibration phase over validation data.",1,ad,True
"In addition, although in theory ELO can be used with any performance measure for active learning, we show using DCG loss (as done in [4]) leads to better performance whether DCG or NDCG is used as the final evaluation of ranker performance. We provide evidence this is because ELO using DCG loss tends toward queries that have both more relevant examples and many degrees of relevance.",1,ad,True
2. APPROACH,1,AP,True
"ELO suggests that, given a set of candidate queries C, one pick the query q  C for labeling where the expected loss is the greatest. Mathematically, we have:",0,,False
max,0,,False
qC,0,,False
EP,0,,False
(Y,0,,False
|Xq,0,,False
",D)",0,,False
"max M((Xq), y) - M(R(Xq), y)",0,,False
(1),0,,False
"Copyright is held by the author/owner(s). SIGIR'12, August 12­16, 2012, Portland, Oregon, USA. ACM 978-1-4503-1472-5/12/08.",0,,False
Paul N. Bennett,0,,False
"Microsoft Research, Redmond, WA",0,,False
pauben@microsoft.com,0,,False
