sentence,label,data,regex
Short Research Paper,0,,False
"SIGIR'17, August 7-11, 2017, Shinjuku, Tokyo, Japan",0,,False
On the Benefit of Incorporating External Features in a Neural Architecture for Answer Sentence Selection,1,corpora,True
"Ruey-Cheng Chen, Evi Yulianti, Mark Sanderson, W. Bruce Cro ",0,,False
"RMIT University, Melbourne, Australia University of Massachuse s, Amherst, MA, USA",0,,False
"{ruey-cheng.chen,evi.yulianti,mark.sanderson}@rmit.edu.au,cro @cs.umass.edu",0,,False
ABSTRACT,0,,False
"Incorporating conventional, unsupervised features into a neural architecture has the potential to improve modeling e ectiveness, but this aspect is o en overlooked in the research of deep learning models for information retrieval. We investigate this incorporation in the context of answer sentence selection, and show that combining a set of query matching, readability, and query focus features into a simple convolutional neural network can lead to markedly increased e ectiveness. Our results on two standard question-answering datasets show the e ectiveness of the combined model.",1,corpora,True
CCS CONCEPTS,0,,False
·Information systems  Information retrieval; estion answering; ·Computing methodologies  Neural networks;,0,,False
KEYWORDS,0,,False
"Answer sentence selection, external features, convolutional neural networks",0,,False
"ACM Reference format: Ruey-Cheng Chen, Evi Yulianti, Mark Sanderson, W. Bruce Cro . 2017. On the Bene t of Incorporating External Features in a Neural Architecture for Answer Sentence Selection. In Proceedings of SIGIR '17, Shinjuku, Tokyo, Japan, August 07-11, 2017, 4 pages. DOI: h p://dx.doi.org/10.1145/3077136.3080705",1,corpora,True
1 INTRODUCTION,1,DUC,True
"Deep learning approaches have recently become a central methodology in the research of question answering (QA). Many recent a empts in this area have focused on utilizing neural architectures, such as convolutional neural networks (CNN) [8, 19], long shortterm memory networks [12], or a ention mechanisms [15, 18], to explicitly model high-level question-answer structures. ese advances outperform conventional approaches, which are based on engineered heuristics. However, whether deep learning will completely remove the need for such features remains an open question.",1,ad,True
"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for pro t or commercial advantage and that copies bear this notice and the full citation on the rst page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permi ed. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior speci c permission and/or a fee. Request permissions from permissions@acm.org. SIGIR '17, August 7-11, 2017, Shinjuku, Tokyo, Japan © 2017 ACM. 978-1-4503-5022-8/17/08. . . $15.00 DOI: h p://dx.doi.org/10.1145/3077136.3080705",1,ad,True
"e lack of understanding as to whether the features are needed in a neural architecture is what we address in this paper. While the development of new models for question answering has been moving rapidly ahead in the past few years, a wealth of proven useful results from prior art [2, 9, 10, 16] were usually ignored. Recently, there has been some evidence pointing a value in using features [11, 19] in neural network models. Commonly used neural network substructures, such as multilayer perceptrons [3], have the capability to combine a large number of external features, so incorporating all available signals in a neural network could improve e ectiveness and provide robust measurement of any e ect [1].",1,ad,True
"In this paper, we expand on past work using an extensive set of experiments. We demonstrate that, by incorporating a list of 21 common text features into a state-of-the-art CNN model, one can achieve an e ectiveness comparable to the currently best reported results on the TREC QA dataset and the WikiQA data.",1,corpora,True
2 EXTERNAL FEATURES,0,,False
"Our hypothesis is that one can assist relevance modeling with a set of external features to capture aspects of the data that are different to those captured in a neural network model. e chosen set of features should also cover basic signals that can be easily reproduced and implemented. In our experiments, we se le on a set of simple features known to be useful for question answering. We focus on retrieval and readability features. ere are two motivations for this approach: 1) such features are be er understood by information retrieval practitioners, and 2) they are relatively cheap to implement. us, we precluded the use of some sophisticated NLP features in our experiments, such as convolutional tree kernel [11] or syntactic similarity [10].",1,ad,True
"e full list of features is given in Table 1, they are divided into three categories.",0,,False
"Lexical and semantic matching. e rst group of features address non-factoid question answering, described Yang et al. [16], were rst selected, which cover topical relevance and semantic relatedness measures. e reference package released by Yang et al. was used in our implementation. For computing the language model and BM25 scores, we empirically set both µ in the language model and the average document length in BM25 to a xed value of ten.",1,ad,True
"Readability. e second group of features focus on text readability [5], which is a set of seven common surface readability features, such as number of words/syllables per sentence or the complexword ratio, plus one feature representing the notable Dale-Chall readability formula. We did not include other readability indices as",1,ad,True
1017,0,,False
Short Research Paper,0,,False
"SIGIR'17, August 7-11, 2017, Shinjuku, Tokyo, Japan",0,,False
Table 1: List of unsupervised features used in this study,0,,False
Lexical and semantic matching,0,,False
Length,0,,False
Number of terms in the sentence,0,,False
ExactMatch Whether query is a substring,0,,False
Overlap,0,,False
Fraction of query terms covered,0,,False
OverlapSyn Fraction of query synonyms covered,0,,False
LM,1,LM,True
Language model score,0,,False
BM25,0,,False
BM25 score,0,,False
ESA,0,,False
Cosine similarity with the query ESA vector,0,,False
TAGME,0,,False
Overlap between query/sentence entities,0,,False
Word2Vec,0,,False
Cosine similarity with query word vectors,0,,False
Readability CPW SPW WPS CWPS CWR LWPS LWR DaleChall,1,ad,True
Number of characters per word Number of syllables per word Number of words per sentence Number of complex words per sentence Fraction of complex words Number of long words per sentence Fraction of long words (> 7 chars),0,,False
e Dale-Chall readability index,1,ad,True
Focus MatchedNGram,0,,False
"Maximum semantic relatedness between head question k-gram and any answer n-gram. See (1); 4 variants of (k, n) were used",1,ad,True
most of these indices can be represented as a linear combination of the surface features.,0,,False
"Focus. e third group of features used four parameterized variants of a newly proposed feature MatchedNGram to account for the matching between question head words and the potential answer n-gram. e feature takes the maximum of the semantic similarity between the rst k question words and any n-grams in the answer, using the cosine similarity between question/answer word vectors as the similarity measure. Given k and n, the feature is de ned as follows:",1,ad,True
"MatchedNGram(Q, A) , max cos",0,,False
l,0,,False
"k i ,1",0,,False
qi,0,,False
",",0,,False
l +n-1,0,,False
"j,l aj",0,,False
.,0,,False
(1),0,,False
"is simple feature explicitly looks for best matching answer n-grams with respect to question head phrases, such as ""who invented"", ""how many"", or ""what year did"". Word embeddings are leveraged in the computation of the similarity measure. Also, not all combinations of (k, n) are found e ective. In our experiments, we empirically chose four best con gurations of (k, n), which are {(k, n) | k  {2, 3}, n  {2, 3}}, based on their e ectiveness within a learning-to-rank model.",1,ad,True
3 EXPERIMENTS,0,,False
"Our evaluation was based on two widely used question answering benchmarks: the TREC QA and the WikiQA datasets. e rst benchmark was originally developed for the task of identifying correct answer factoids in retrieved passages. We used the version prepared by Wang et al. [13], with 1,229 questions in the larger",1,TREC,True
"training set, 82 in the dev set, and 100 in the test set. No further ltering was performed on the data (the ""raw"" se ing [7]).1 e second benchmark, WikiQA, was created by Yang et al.",1,Wiki,True
"over the English Wikipedia summary passages and the Bing query logs [17], with crowdsourced annotations. is new benchmark is developed to counter biases introduced in the creation TREC QA: the reliance on using lexical overlap with the question as the sole indication of a candidate answer. Hence, this dataset is by design made more challenging for retrieval based methods. Some major follow-up works [7, 18] used a split that includes questions with all positive labels, a version slightly di erent from the split distributed in the original data. We used the same split as in Rao et al. and used 873 questions in the training set, 126 in the dev set, and 243 in the test set [7].",1,Wiki,True
3.1 Neural Network Con guration,0,,False
"For the choice of a base system, which would serve as the experimental control, we chose to implement a bi-CNN architecture as proposed in Severyn and Moschi i [8]. is state-of-the-art model is preferred over other candidates, i.e., a ention-based CNN [18], for the ease of implementation and parameter optimization. is architecture is fairly robust and in most cases overly excessive parameter tuning is not required.",0,,False
"Convolutional Neural Networks. Our implementation follows closely to the experimental se ing in the original paper. Two sets of word embeddings were used: one with 50 dimensions, developed on top of English Wikipedia and the AQUAINT corpus [8], and the other a 300-dimension pre-trained model released by the word2vec project, using 100-billion words from Google News. e sparse word overlapping indicator features were also used in the convolutional layer [11]. e proposed 21 features were incorporated in the fully-connected layer which also combines pooled representations for the question and the answer sentences. e size of the kernel is set to 100 throughout the experiments. We used hyperbolic tangent tanh as the activation function and max pooling in the pooling layer. e network is trained by using stochastic gradient descent with mini batches. e batch size is set to 50 and AdaDelta update [20] was used with  ,"" 0.95. Early stopping was deployed tracking the change of dev set e ectiveness, and as a result the training almost always stopped in 5 to 10 epochs. We also experimented with dropout in two experimental runs by sweeping through a small set of dropout rates {0.1, 0.2, . . . , 0.9}.""",1,Wiki,True
"e a ention mechanism can also a ect the e ectiveness of the neural network model. To control for this variable, we implemented a simple a ention layer in the base CNN model to approximate the ABCNN-1 model, which is the simplest form of a ention mechanism proposed in Yin et al [18]. In mathematical terms, an a ention layer takes a question-side feature map Fq  Rnq ×d and an answerside feature map Fa  Rna ×d as input. Here, nq and na denote the maximum question/answer sentence length, respectively, and d denotes the dimension of the word embeddings.",0,,False
"1Some previous work chose to remove questions that contain no answers and led to two inconsistent data splits ""raw"" an ""clean"", so results on one split are not directly comparable to those on the other [7].",0,,False
1018,0,,False
Short Research Paper,0,,False
"SIGIR'17, August 7-11, 2017, Shinjuku, Tokyo, Japan",0,,False
Table 2: E ectiveness results on TREC QA and WikiQA datasets. Best-performing runs in each word-embedding group are un-,1,TREC,True
derlined and the overall best result on individual benchmarks printed in boldface. Relative improvements (+/-%) are measured,0,,False
"against the group control (base system). Signi cant di erences with respect to bagged LambdaMART and the group control are indicated by /and /, respectively, for p < 0.05/p < 0.01 using the paired t-test.",0,,False
TREC QA,1,TREC,True
WikiQA,1,Wiki,True
System,0,,False
A n? Drop? MAP,1,MAP,True
MRR,0,,False
S@1,0,,False
MAP,1,MAP,True
MRR,0,,False
S@1,0,,False
Runs (AQUAINT/Wikipedia),1,AQUAINT,True
CNN,0,,False
×,0,,False
× 76.2,0,,False
80.9,0,,False
73.7,0,,False
66.0,0,,False
67.4,0,,False
52.3,0,,False
Combined Model,0,,False
×,0,,False
× 77.9 (+2.2%) 82.2 (+1.6%) 74.7 (+1.4%) 67.2 (+1.8%) 68.5 (+1.6%) 53.9 (+3.1%),0,,False
Combined Model,0,,False
×,0,,False
78.2 (+2.6%) 83.7 (+3.5%) 76.8 (+4.2%) 64.7 (-2.0%) 65.7 (-2.5%) 48.6 (-7.1%),0,,False
CNN Combined Model Combined Model,0,,False
× 75.4,0,,False
79.9,0,,False
71.6,0,,False
65.3,0,,False
66.8,0,,False
52.7,0,,False
× 77.2 (+2.4%) 81.1 (+1.5%) 72.6 (+1.4%) 70.0 (+7.2%) 71.4 (+6.9%) 58.4 (+10.8%),0,,False
77.3 (+2.5%) 82.0 (+2.6%) 74.7 (+4.3%) 69.0 (+5.7%) 70.9 (+6.1%) 58.4 (+10.8%),0,,False
Runs (Google News),0,,False
CNN,0,,False
×,0,,False
Combined Model,0,,False
×,0,,False
Combined Model,0,,False
×,0,,False
CNN Combined Model Combined Model,0,,False
× 76.1,0,,False
82.3,0,,False
75.8,0,,False
67.3,0,,False
69.1,0,,False
57.2,0,,False
× 73.8 (-3.0%) 79.2 (-3.8%) 70.5 (-7.0%) 69.2 (+2.8%) 70.2 (+1.6%) 56.0 (-2.1%),0,,False
74.8 (-1.7%) 80.1 (-2.7%) 71.6 (-5.5%) 69.2 (+2.8%) 70.7 (+2.3%) 56.4 (-1.4%),0,,False
× 75.0,0,,False
81.1,0,,False
73.7,0,,False
66.3,0,,False
68.3,0,,False
54.7,0,,False
× 76.5 (+2.0%) 82.5 (+1.7%) 74.7 (+1.4%) 69.4 (+4.7%) 71.2 (+4.2%) 57.6 (+5.3%),0,,False
76.3 (+1.7%) 82.5 (+1.7%) 74.7 (+1.4%) 67.9 (+2.4%) 69.7 (+2.0%) 56.0 (+2.4%),0,,False
Reference methods Bagged LambdaMART LSTM [12] CNN [8] aNMM [15] ABCNN-3 [18] PairwiseRank + SentLevel [7],0,,False
75.7,0,,False
81.3,0,,False
72.6,0,,False
63.0,0,,False
63.8,0,,False
46.5,0,,False
71.3,0,,False
79.1,0,,False
--,0,,False
--,0,,False
74.6,0,,False
80.8,0,,False
--,0,,False
--,0,,False
75.0,0,,False
81.1,0,,False
--,0,,False
--,0,,False
--,0,,False
--,0,,False
69.2,0,,False
71.1,0,,False
78.0,0,,False
83.4,0,,False
70.1,0,,False
71.8,0,,False
"e matrix A  Rnq ×na representing the ""a ention"" is computed internally to the layer as follows:",0,,False
"Ai, j , 1 +",0,,False
"1 Fq [i, :] - Fa [j, :]",0,,False
",",0,,False
(2),0,,False
"with · being the euclidean distance function. en, the layer",0,,False
"generates two new a ention-based feature maps, Fq and Fa , which are to be combined in the follow-up convolutional layers:",0,,False
"Fq , AWq Fa ,"" AT Wa ,""",0,,False
(3),0,,False
where Wq  Rna ×d and Wa  Rnq ×d denote model weights which are to be learned from the data.,0,,False
3.2 Baselines,0,,False
"A number of published results were included as reference runs in the experiments [8, 12, 15, 18], including a recently proposed neural model PairwiseRank [7]. For comparing with learning-to-rank systems, a Bagged LambdaMART model trained using RankLib2 over the 21 sentence features is included. e bagged LambdaMART was trained by optimizing NDCG@20 with subsampling rate 0.7, feature sampling rate 0.3, using 300 bags.",0,,False
2h ps://www.lemurproject.org/ranklib.php,0,,False
3.3 Results,0,,False
"Table 2 gives the e ectiveness results for the TREC QA and the WikiQA datasets. e e ectiveness of answer selection is measured by Mean Average Precision (MAP), Mean Reciprocal Rank (MRR), and Success at 1 (S@1), using the trec eval package following Severyn and Moschi i [8]. e experimental runs are divided into four groups, according to the word embeddings in use (AQUAINT/Wikipedia or Google News) and whether the a ention mechanism is enabled. In each group, the original CNN model is the experimental control, and runs with external features combined (denoted as Combined Model) are the treatments.",1,TREC,True
"On both sets of data, the PairwiseRank model gives the best results. e baseline bagged LambdaMART model appears to be strong on the TREC QA data, beating a number of neural network models, but it does not appear particularly e ective on the more challenging WikiQA dataset.",1,TREC,True
